"deployment","image_name","distance","radius","angle","n_poles","pole_in_zone"
"H1R0_03","IMG_0234.JPG",1.5,1.76572516368687,-0.315519686540008,13,TRUE
"H1R0_03","IMG_0239.JPG",1.5,1.85803966691333,-0.0467470086484285,13,TRUE
"H1R0_03","IMG_0246.JPG",1.5,1.79984728845341,0.341594223081601,13,TRUE
"H1R0_03","IMG_0253.JPG",3,3.26184288020569,-0.32657208849783,13,TRUE
"H1R0_03","IMG_0277.JPG",4.5,5.11652349735675,-0.0355309492792522,13,TRUE
"H1R0_03","IMG_0294.JPG",6,6.42940675962512,-0.0243411140844793,13,TRUE
"H1R0_03","IMG_0317.JPG",7.5,7.9847383458237,-0.0186303263590849,13,TRUE
"H1R0_03","IMG_0330.JPG",9,9.28190214805991,-0.326858107393838,13,TRUE
"H1R0_03","IMG_0334.JPG",9,9.03351097643324,-0.0104991750570185,13,TRUE
"H1R0_03","IMG_0353.JPG",10.5,10.4526580091409,-0.00991037721638703,13,TRUE
"H1R0_03","IMG_0388.JPG",12,12.3672639120528,0.375974802898044,13,TRUE
"H1R0_03","IMG_0398.JPG",13.5,14.7039094682823,-0.330342408347368,13,TRUE
"H1R0_03","IMG_0430.JPG",15,20.4183670594981,-0.334315873888952,13,TRUE
"H1R0_03","IMG_0234.JPG",1.5,1.60756168844873,-0.320421492192734,13,TRUE
"H1R0_03","IMG_0253.JPG",3,3.00892628231506,-0.331645600477306,13,TRUE
"H1R0_03","IMG_0263.JPG",3,2.86091721397233,0.366333373358987,13,TRUE
"H1R0_03","IMG_0287.JPG",6,6.14982511019241,-0.332420264573619,13,TRUE
"H1R0_03","IMG_0317.JPG",7.5,7.70216179270669,-0.0189197607207265,13,TRUE
"H1R0_03","IMG_0323.JPG",7.5,5.98072740814118,0.376712685845116,13,TRUE
"H1R0_03","IMG_0330.JPG",9,9.04383661828521,-0.331936062864801,13,TRUE
"H1R0_03","IMG_0334.JPG",9,8.80205546306336,-0.0106622866403488,13,TRUE
"H1R0_03","IMG_0350.JPG",10.5,10.7497743732224,-0.333293686165079,13,TRUE
"H1R0_03","IMG_0398.JPG",13.5,15.0906936225951,-0.335474494723115,13,TRUE
"H1R0_03","IMG_0418.JPG",13.5,14.9023290010252,0.379490315293721,13,TRUE
"H1R0_03","IMG_0430.JPG",15,22.2022610973928,-0.339509690662781,13,FALSE
"H1R0_03","IMG_0436.JPG",15,14.6775741862964,-0.00460178290295308,13,FALSE
"H1R0_03","IMG_0234.JPG",1.5,1.61028800819106,-0.319056622814874,13,TRUE
"H1R0_03","IMG_0260.JPG",3,3.24166779571087,-0.0291928556891089,13,TRUE
"H1R0_03","IMG_0271.JPG",4.5,4.92492945757741,-0.327311336052206,13,TRUE
"H1R0_03","IMG_0300.JPG",6,4.93553736145307,0.372951150904163,13,TRUE
"H1R0_03","IMG_0323.JPG",7.5,5.89393741880532,0.375108038149224,13,TRUE
"H1R0_03","IMG_0350.JPG",10.5,10.576037606595,-0.331873986309843,13,TRUE
"H1R0_03","IMG_0353.JPG",10.5,10.1064008209515,-0.0100214713070875,13,TRUE
"H1R0_03","IMG_0375.JPG",12,11.4218551785031,-0.00365105077582686,13,TRUE
"H1R0_03","IMG_0398.JPG",13.5,14.7227839162646,-0.334045505482203,13,FALSE
"H1R0_03","IMG_0406.JPG",13.5,12.7549797023137,-0.0047258900783703,13,FALSE
"H1R0_03","IMG_0418.JPG",13.5,14.2727273927125,0.377873835990182,13,FALSE
